document_id,coherence_relation,verb,coreference_type,context,pronominalization,12person,proAntecedent,subj_antecedent_type,subject_or_not,non_subject_or_not
pt/nt/42/nt_4219,narration,say,non_subject,"So he said , `` A very important man was preparing to go to a country far away to be made a king .//Then he planned to return home and rule his people .",pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
pt/nt/42/nt_4219,narration,put,non_subject,"If that is true , you should have put my money in the bank .//Then , when I came back , my money would have earned some interest . '",non pronoun,non_subject,non_subject,first_second_pronoun,not_subject,non_subject
pt/nt/42/nt_4219,narration,earn,other,"Then , when I came back , my money would have earned some interest . '//Then the king said to the men who were watching , ' Take the bag of money away from this servant and give it to the servant who earned ten bags of money . '",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4219,narration,put,subject,They put their coats on its back .//Then they put Jesus on the donkey .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/44/nt_4409,narration,be,subject,He was able to see !//Then he got up and was baptized .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/44/nt_4409,narration,put,non_subject,They put him in a basket and lowered it down through a hole in the city wall .//Then Saul went to Jerusalem .,non pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
pt/nt/44/nt_4409,narration,tell,subject,He told them how Saul had seen the Lord on the road and how the Lord had spoken to Saul .//Then he told them how boldly Saul had spoken for the Lord in Damascus .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/44/nt_4409,narration,kneel,subject,"He knelt down and prayed .//Then he turned to Tabitha 's body and said , `` Tabitha , stand up ! ''",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/44/nt_4409,narration,give,subject,He gave her his hand and helped her stand up .//Then he called the believers and the widows into the room .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/44/nt_4419,narration,baptize,other,"When these followers heard this , they were baptized in the name of the Lord Jesus .//Then Paul laid his hands on them , and the Holy Spirit came on them .",non pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/44/nt_4419,narration,say,other,"But one time an evil spirit said to these Jews , `` I know Jesus , and I know about Paul , but who are you ? ''//Then the man who had the evil spirit inside him jumped on these Jews .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/44/nt_4419,narration,be,other,Great is Artemis . . . ! ''//Then the city clerk persuaded the people to be quiet .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/43/nt_4309,narration,answer,non_subject,"He answered , `` The man they call Jesus made some mud and put it on my eyes .//Then he told me to go to Siloam and wash .",pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
pt/nt/43/nt_4309,narration,go,subject,So I went there and washed .//And then I could see . '',pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
pt/nt/43/nt_4309,narration,answer,other,"He answered , `` I do n't know . ''//Then the people brought the man to the Pharisees .",non pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/43/nt_4309,narration,answer,subject,"The man answered , `` Yes , I believe , Lord ! ''//Then he bowed and worshiped Jesus .",pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/43/nt_4309,narration,say,other,"But you say that you see , so you are still guilty . ''//Then Pilate ordered that Jesus be taken away and whipped .",non pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
pt/nt/43/nt_4319,narration,make,subject,The soldiers made a crown from thorny branches and put it on his head .//Then they put a purple robe around him .,pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/43/nt_4319,narration,want,non_subject,I want you to know that I find nothing I can charge him with . ''//Then Jesus came out wearing the crown of thorns and the purple robe .,non pronoun,non_subject,non_subject,first_second_pronoun,not_subject,non_subject
pt/nt/43/nt_4319,narration,say,subject,"He said to his mother , `` Dear woman , here is your son . ''//Then he said to the follower , `` Here is your mother . ''",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/43/nt_4319,narration,say,subject,"When he tasted the wine , he said , `` It is finished . ''//Then he bowed his head and died .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/46/nt_4609,narration,do,other,"I do this so that I wo n't miss getting the prize myself after telling others about it .//Then Jesus said , `` Believe me when I say that some of you people standing here will see God 's kingdom come with power before you die . ''",non pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
pt/nt/41/nt_4109,narration,say,subject,"Then Jesus said , `` Believe me when I say that some of you people standing here will see God 's kingdom come with power before you die . ''//Six days later , Jesus took Peter , James , and John and went up on a high mountain .",non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/41/nt_4109,narration,become,other,His clothes became shining white -- whiter than anyone on earth could make them .//Then two men were there talking with Jesus .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/41/nt_4109,narration,rise,other,Wait until after the Son of Man rises from death .//Then you can tell people what you saw . '',pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/41/nt_4109,narration,say,other,"The Scriptures said this would happen to him . ''//Then Jesus , Peter , James , and John went to the other followers .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/41/nt_4109,narration,take,subject,But Jesus took hold of his hand and helped him stand up .//Then Jesus went into the house .,non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/41/nt_4109,narration,answer,other,"Jesus answered , `` That kind of spirit can be forced out only with prayer . ''//Then Jesus and his followers left there and went through Galilee .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/41/nt_4109,narration,serve,other,They must serve everyone else . ''//Then Jesus took a small child and stood the child in front of the followers .,non pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/40/nt_4019,narration,be,other,This is for anyone who is able to accept it . ''//Then the people brought their little children to Jesus so that he could lay his hands on them to bless them and pray for them .,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/40/nt_4019,narration,leave,other,"So he left .//Then Jesus said to his followers , `` The truth is , it will be very hard for a rich person to enter God 's kingdom .",non pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/40/nt_4009,narration,say,other,"But what if I say to the man , ' Stand up and walk ' ?//Then you will be able to see that I really have this power . ''",pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
pt/nt/40/nt_4009,narration,come,other,"I came to invite sinners . ''//Then the followers of John came to Jesus and said , `` We and the Pharisees fast often , but your followers do n't ever fast .",non pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
pt/nt/40/nt_4009,narration,come,non_subject,But the time will come when the bridegroom will be taken from them .//Then they will fast .,pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
pt/nt/40/nt_4009,narration,shrink,other,"If they do , the patch will shrink and pull away from the coat .//Then the hole will be worse .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/40/nt_4009,narration,make,subject,You are made well because you believed . ''//Then the woman was healed .,non pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
pt/nt/40/nt_4009,narration,answer,non_subject,"They answered , `` Yes , Lord , we believe . ''//Then Jesus touched their eyes and said , `` You believe that I can make you see again , so it will happen . ''",non pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
pt/nt/40/nt_4009,narration,touch,non_subject,"Then Jesus touched their eyes and said , `` You believe that I can make you see again , so it will happen . ''//Then the men were able to see .",non pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
pt/nt/47/nt_4709,narration,help,non_subject,"They will help in getting together the generous gift you promised .//Then it will be ready when we come , and it will be seen as a blessing you are giving , not as something you were forced to do .",pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
nw/wsj/23/wsj_2381,narration,wait,subject,"`` I waited to make sure all the program trades had kicked through , '' he said .//Then he jumped into the market :",pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
nw/wsj/23/wsj_2320,narration,be,other,"If the new Cheer sells well , the trend toward smaller packaging is likely to accelerate as competitors follow with their own superconcentrates .//Then retailers `` will probably push the -LCB- less - established -RCB- brands out altogether , '' he says .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
nw/xinhua/02/chtb_0269,narration,ask,other,"A reporter asked : the Standing Committee of the National People 's Congress had passed a resolution regarding "" the three - tiered administrative system of Hong Kong will operate until June 30th , 1997 , and then cease . "" ;//Then , what will the three - level Chinese restructured administrative system be like ?",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
mz/sinorama/10/ectb_1060,narration,return,subject,"In the 1960s , he returned to Taiwan and embarked on research at the Fengpitou site in Kaohsiung , completing the most extensive archeological study made in Taiwan in over a century .//Then he went on to perform research in an area that spanned the Choshui and Tatu river valleys .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
mz/sinorama/10/ectb_1060,narration,blacklist,subject,"For this work , he was blacklisted in Taiwan .//Later , Tai repeatedly declined invitations from Chiang Ching-kuo to return .",non pronoun,False,pronoun,other_pronoun,subject,not_non_subject
mz/sinorama/10/ectb_1050,narration,prove,other,"Though it does n't have much of a hinterland , its geographic location has proved historically important , as one can see from the prehistoric cultures unearthed at the Ta - pen - keng and Shih - san - hang archeological sites .//Later , when Han Chinese began trickling across to Taiwan , they mainly settled along rivers .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
bc/cctv/00/cctv_0000,narration,see,other,"Lastly , farthest away you can see Putian of Shenzhen .//Then , , on the bridge is Hong Kong and outside is Shenzhen .",non pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
bc/phoenix/00/phoenix_0000,narration,need,subject,And do you need to polish it somehow ?//Then do you rub a little oil of some kind on it ?,pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
bc/phoenix/00/phoenix_0000,narration,be,other,"Mm , when I started it was a technical school .//Then at first it was 13 yuan , the first year 13 yuan ; the second year it was 15 yuan , and the third year it was 41 yuan .",pronoun,other,other,other_pronoun,not_subject,not_non_subject
bc/phoenix/00/phoenix_0000,narration,saw,subject,"Then after I went back to Beijning , when we made arrangement and were eating together , I saw Wang Shuo for the first time//Then , when I saw him for the first time , Wang Shuo was holding a book in his arms , a book , that was Floating on the Sea , that novel he wrote , it was a sample .",pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
bc/phoenix/00/phoenix_0000,narration,sigh,subject,"He sighed , this expresses what our generation really wants to express .//Later he was introduced by a friend , and Ye Daying met the author of the novel , Wang Shuo , at the film institute .",pronoun,False,pronoun,other_pronoun,subject,not_non_subject
bc/cnn/00/cnn_0000,narration,determine,subject,Dr. Robert Mann a forensic anthropologist has determined that the airman was Caucasian and had fair hair /.//Next though I 'm going to have to look at his clavicles /.,pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
bc/cnn/00/cnn_0000,narration,start,subject,The new chick and her prince started the day with a visit to Ground Zero /.//They then unveiled a memorial to British victims of Nine Eleven /.,pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
bc/msnbc/00/msnbc_0000,narration,say,subject,But when the wind blew he says he saw the upper part of a woman 's body blonde hair /.//and then he says they buried this body there in the landfill /.,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
bc/msnbc/00/msnbc_0000,narration,report,other,News also reports another allegation that quote another juror sneaked a forbidden video of Court TV broadcast featuring the prosecution friendly Dianne Dimond and Nancy Grace to the jury room but a faulty VCR prevented a sneak peak /.//And then a quote gang of three female jurors were such rabid Jackson fans that they cooed not my Michael when the panel discussed the felony charges against the pop idol /.,non pronoun,other,other,non_pronoun,not_subject,not_non_subject
wb/eng/00/eng_0000,narration,walk,subject,"A woman walks into an Israeli restaurant in mid-day , eats , observes families with old people and children eating their lunch in the adjacent tables and pays the bill .//She then blows herself up , killing 20 people , including many children , with heads and arms rolling around in the restaurant .",pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
wb/c2e/00/c2e_0010,narration,arrive,subject,"Dad read to Qingqing , and then we arrived at Jinrunfa by shuttle bus , but could n't find the stickers that Qingqing wanted .//We then went to Jinsheng , where we finally found them .",pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
wb/a2e/00/a2e_0020,narration,want,other,"Maybe God wanted to expose the series of lies of Muwaffaq al - Rabi the National Security Advisor in the government of occupation . -LRB- Where is that security ? -RRB- , who went out to the world saying that he , meaning President Saddam , was weak and collapsing while he was on his way to meet his God .//Then the tape comes along and shows us with sound and image that we are in front of a courageous lion , who refuses to wear the mask , just as he refused to take the tranquilizing pills they offered him .",non pronoun,other,other,non_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0020,narration,eat,subject,but I mean you know he does n't eat anything//and then for lunch when we finally went to go get something to eat Also he eats like a little What we would eat maybe half for a meal,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
tc/ch/00/ch_0020,narration,'s,other,but at least okay it 's %uh//and then all of a sudden they came back and said no we want to get married,pronoun,other,other,other_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0020,narration,admit,other,I must admit it was really really beautiful//and then serving everything we use like %um all different kinds of bought kind of %um paper plates that,pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0020,narration,have,subject,they had hay//and then they had fruit,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
tc/ch/00/ch_0020,narration,come,subject,they came for Pesach//and then they told them,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
tc/ch/00/ch_0020,narration,marry,other,she got married//and then the week after Ta'al Paer got married,non pronoun,other,other,other_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0040,narration,get,other,he gets a research position somewhere in France or in Spain %um//and then we move over there,pronoun,other,other,other_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0040,narration,have,subject,%um and we have relatively mellow life for who knows five or ten years//and then we take it from there .,pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
tc/ch/00/ch_0010,narration,be,other,It 'll be//and then I 'll know one more person there .,pronoun,other,other,other_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0010,narration,see,other,"Like we could see each other .//And then I 'll go Monday -- down to Bonn , or wherever those relatives are because I have n't seen my uncle in like three or four years , and he 's just turning eighty and I like them a lot",pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0010,narration,think,other,"But I think they 'll be in Munstereifel .//And then my cousin , she still does live in Bonn",non pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0010,narration,get,subject,so I 'll get to see her .//And then I 'll zip off to Berlin Right . mhm mhm go to this wedding and see my favorite cousin .,pronoun,True,pronoun,first_second_pronoun,subject,not_non_subject
tc/ch/00/ch_0010,narration,'s,other,That 's good .//Then she says I 'm being mean .,pronoun,other,other,non_pronoun,not_subject,not_non_subject
tc/ch/00/ch_0050,narration,move,subject,so after that they moved to Middletown//and then they went to South Portright upstate near Onianta,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/66/nt_6620,narration,tie,subject,The angel tied the dragon with the chain for 1000 years .//Then the angel threw the dragon into the bottomless pit and closed it .,non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/66/nt_6620,narration,make,other,After 1000 years the dragon must be made free for a short time .//Then I saw some thrones and people sitting on them .,pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6620,narration,torture,other,There they would be tortured day and night forever and ever .//Then I saw a large white throne .,pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6620,narration,throw,non_subject,And anyone whose name was not found written in the book of life was thrown into the lake of fire .//Then I saw another powerful angel coming down from heaven .,pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
pt/nt/66/nt_6610,narration,complete,other,"In the days when the seventh angel is ready to blow his trumpet , God 's secret plan will be completed -- the Good News that God told to his servants , the prophets . ''//Then I heard the same voice from heaven again .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/66/nt_6610,narration,be,non_subject,"In my mouth it tasted sweet like honey , but after I ate it , it was sour in my stomach .//Then I was told , `` You must prophesy again about many races of people , many nations , languages , and rulers . ''",pronoun,non_subject,non_subject,other_pronoun,not_subject,non_subject
pt/nt/58/nt_5810,narration,be,other,"You are not pleased with the sacrifices of animals killed and burned or with offerings to take away sins .//Then I said , ' Here I am , God .",pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
pt/nt/58/nt_5810,narration,be,other,"-LRB- These are all sacrifices that the law commands . -RRB-//Then he said , `` Here I am , God .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/58/nt_5810,narration,be,other,"But Christ offered only one sacrifice for sins , and that sacrifice is good for all time .//Then he sat down at the right side of God .",pronoun,other,other,non_pronoun,not_subject,not_non_subject
pt/nt/58/nt_5810,narration,write,other,"I will write my laws in their minds . ''//Then he says , `` I will forget their sins and never again remember the evil they have done . ''",pronoun,other,other,first_second_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4220,narration,say,subject,"So Jesus said to them , `` Then I will not tell you who gave me the authority to do these things . ''//Then Jesus told the people this story : `` A man planted a vineyard .",non pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
pt/nt/42/nt_4220,narration,lease,subject,He leased the land to some farmers .//Then he went away for a long time .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/42/nt_4220,narration,come,subject,He will come and kill those farmers .//Then he will lease the land to some other farmers . '',pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/42/nt_4220,narration,have,other,"He had no children .//Then the second brother married the woman , and he died .",non pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4220,narration,be,non_subject,"No one was brave enough to ask him another question .//Then Jesus said , `` Why do people say that the Christ is the Son of David ?",non pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
pt/nt/42/nt_4220,narration,cheat,subject,But they cheat widows and take their homes .//Then they try to make themselves look good by saying long prayers .,pronoun,False,pronoun,other_pronoun,subject,not_non_subject
pt/nt/42/nt_4210,narration,be,non_subject,The only people who will know about the Father are those the Son chooses to tell . ''//Then Jesus turned to his followers .,non pronoun,non_subject,non_subject,non_pronoun,not_subject,non_subject
pt/nt/42/nt_4210,narration,,other,"And they wanted to hear what you now hear , but they could not . ''//Then an expert in the law stood up to test Jesus .",non pronoun,other,other,other_pronoun,not_subject,not_non_subject
pt/nt/42/nt_4210,narration,surround,subject,"Some robbers surrounded him , tore off his clothes , and beat him .//Then they left him lying there on the ground almost dead .",pronoun,False,non pronoun,non_pronoun,subject,not_non_subject
