document_id,coherence_relation,rstdt_relation,rstdt_nuclearity,verb,coreference_type,context,pronominalization,12person,proAntecedent,subject_or_not,non_subject_or_not
wsj_1160,narration,Sequence,NN,have,subject,"To push through a sales tax increase, however, the state will have to suspend the Gann limit, citing an emergency.//And then it will be required to lower taxes by a corresponding amount during a three-year period after the temporary tax increase ends,",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0664,narration,temporal-after,NS,come,subject,Mr. Thompson first came to the exchange in 1981 and has been executive vice president since March 1988.//He previously held posts of senior vice president of compliance and senior vice president and general counsel.,pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0616,narration,temporal-same-time,NS,liberalize,other,"The market for export financing was liberalized in the mid-1980s, however, forcing the bank to face competition.//At the same time, many of Spain's traditional export markets in Latin America and other developing areas faced a sharp decline in economic growth.",non pronoun,other,other,not_subject,not_non_subject
wsj_0616,narration,Sequence,NN,eliminate,subject,"In Mr. Luzon's first year, the bank eliminated 800 jobs.//Now it says it'll trim another 1,200 jobs over the next three to four years.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1323,narration,Inverted-Sequence,NN,have,subject,"He has two more years at Texas A&M.//Right now he takes people out to fish in the bays behind the barrier islands that curve for hundreds of miles along the eastern coast of Texas, enclosing milky green lagoons behind ridges of sand and grassy scrub that rim the deep blue of the Gulf beyond.",pronoun,FALSE,TRUE,subject,not_non_subject
wsj_1323,narration,Sequence,NN,scoop,subject,The guide scoops into a pail and puts a frantically wiggling croaker on the hook.//Then he casts out.,pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1317,narration,Sequence,NN,influence,other,American Express representatives apparently influenced the publication of unfavorable articles about Mr. Safra.//The company later apologized and agreed to make $8 million in contributions to charities chosen by him.,non pronoun,other,other,not_subject,not_non_subject
wsj_1154,narration,Sequence,NN,test,subject,"the toilet not only tests blood pressure, pulse and urine,//it also stores the data for up to 130 days.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0632,narration,Inverted-Sequence,NN,confirm,other,"GM confirmed Friday that it received permission late Thursday from U.S. antitrust regulators to increase its Jaguar holdings past the $15 million level.//Ford got a similar go-ahead earlier in October,",non pronoun,other,other,not_subject,not_non_subject
wsj_1328,narration,Sequence,NN,receive,subject,"The trust also will receive $75 million a year starting in 1991 on a bond it holds from Manville.//And, beginning in 1992, it will have a claim on as much as 20% of Manville's annual net income.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0676,narration,Sequence,NN,make,other,"In 1807, the Swiss mathematician who headed the U.S. Coast and Geodetic Survey made an ""iron meter"" that he had brought from Europe the standard of measure.//By the end of the century scientists had embraced the system.",non pronoun,other,other,not_subject,not_non_subject
wsj_1162,narration,temporal-same-time,NS,await,subject,"Thus, optimistic entrepreneurs await a promised land of less red tape -- just as soon as Uncle Sam gets around to arranging it.//Meanwhile, they tackle the mounds of paper -- and fantasize about a dream world where bulk-mail postal regulations and government inspectors are banished.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0692,narration,Sequence,NN,identify,subject,"we identify national goals and the threats to these goals,//we shape a strategy to counter these threats, we determine the forces needed to execute the strategy, before finally forging the budgets needed to build and maintain the forces.",pronoun,TRUE,TRUE,subject,not_non_subject
wsj_0692,narration,Sequence,NN,construct,subject,"The strategic planners in the Joint Chiefs of Staff would construct the most effective defense program for each scenario, maximizing strengths and minimizing weaknesses.//They would conclude their efforts by producing a comprehensive net assessment for each plan -- including the assumptions made, an analysis of its deficiencies and limitations, the impact on national security, and the best strategy for working around these limitations.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1331,narration,Sequence,NN,end,other,"The first GAF trial ended in a mistrial after four weeks when U.S. District Judge Mary Johnson Lowe found that a prosecutor improperly, but unintentionally, withheld a document.//After 93 hours of deliberation, the jurors in the second trial said they were hopelessly deadlocked, and another mistrial was declared on March 22.",non pronoun,other,other,not_subject,not_non_subject
wsj_1331,narration,Sequence,NN,find,other,"Meanwhile, a federal jury found Mr. Bilzerian guilty on securities fraud and other charges in June.//A month later, Mr. Jefferies was spared a jail term by a federal judge who praised him for helping the government.
In August, Mr. Lewis pleaded guilty to three felony counts.",non pronoun,other,other,not_subject,not_non_subject
wsj_1331,narration,Sequence,NN,make,subject,The company made and marketed the Dalkon Shield in the early 1970s amid mounting evidence that it could cause serious injuries.//Robins has been in proceedings under Chapter 11 of the U.S. Bankruptcy Code since August 1985; such proceedings give it protection from creditor lawsuits while it works out a plan for paying its debts.,non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1331,narration,Sequence,NN,criticize,non_subject,"In a brief filed with the Supreme Court last week, Mr. Pretl criticizes the appeal for raising ""abstract"" and ""theoretical"" legal issues, while jeopardizing the proposed reorganization and the settlement payments to claimants.//The Supreme Court is scheduled to consider the case Nov. 3 and may issue a decision as early as Nov. 6.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1330,narration,temporal-same-time,NS,be,subject,The debt-laden parent has been under pressure from large shareholders to boost the company's share price.//At the same time it has been caught in an earnings squeeze.,pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1187,narration,temporal-same-time,NS,shed,other,"London's Financial Times 100-share index shed 40.4 points to finish at 2149.3.//At London's close, the Dow Jones Industrial Average was 51.23 points lower at 2611.68.",non pronoun,other,other,not_subject,not_non_subject
wsj_1187,narration,temporal-after,SN,rise,other,"In early trading in Tokyo Wednesday, the Nikkei index rose 17.92 points to 35544.47.//On Tuesday, the Tokyo stock price index of all first section issues was down 6.31 at 2681.22.",non pronoun,other,other,not_subject,not_non_subject
wsj_1187,narration,temporal-before,NS,be,subject,"Cutting against the downward trend was Continental, which jumped 4 marks to 346 marks ($187) in heavy trading on rumors that the tire maker is about to be taken over.//It jumped 7.5 Monday.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0693,narration,Sequence,NN,resign,subject,"when Mr. Lawson resigned from his six-year post because of a policy squabble with other cabinet members.//He was succeeded by John Major, who Friday expressed a desire for a firm pound and supported the relatively high British interest rates that he said ""are working exactly as intended"" in reducing inflation.
But the market remains uneasy about Mr. Major's policy strategy and the prospects for the pound, currency analysts contend.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0648,narration,Sequence,NN,exhaust,other,"After Hugo hit, many insurers exhausted their reinsurance coverage and had to tap reinsurers to replace that coverage in case there were any other major disasters before the end of the year.//After the earthquake two weeks ago, brokers say companies scrambled to replace reinsurance coverages again and Lloyd's syndicates turned to the London market excess lines for protection of their own.",non pronoun,other,other,not_subject,not_non_subject
wsj_0651,narration,temporal-same-time,NS,approve,subject,"Nelson Holdings International Ltd. shareholders approved a 1-for-10 consolidation of the company's common stock at a special meeting.//At the same time, shareholders approved the adoption of a rights plan and a super-majority voting approval requirement.
They also approved the relocation of the company's registered office to Toronto from Vancouver and a name change to NHI Nelson Holdings International Ltd.",non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0623,narration,Sequence,NN,vote,subject,"The Senate, 84-6, voted to increase to $124,000 the ceiling on insured mortgages from the FHA, which lost $4.2 billion in loan defaults last year.//Then, by voice vote, the Senate voted a pork-barrel bill, approved Thursday by the House, for domestic military construction.",non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1137,narration,Sequence,NN,require,other,"In 1972, the Justice Department required that the electoral map in the borough of Brooklyn be redrawn to concentrate black and Hispanic votes, despite protests that the new electoral boundaries would split a neighborhood of Hasidic Jews into two different districts.//This year, a commission appointed by the mayor to revise New York's system of government completed a new charter, expanding the City Council to 51 from 35 members.
Sometime in 1991, as soon as the 1990 census becomes available, a redistricting panel will redraw the City Council district lines.
The Charter Revision Commission has made it clear that in response to the expectations of the Justice Department and the commission's own commitment to enhancing minority political leadership, the new district lines will be drawn to maximize the number of solidly minority districts.
Blacks and Hispanics currently make up 38% of the city's population and hold only 25% of the seats on the council. 

Several of the city's black leaders, including Democratic mayoral nominee David Dinkins, have spoken out for racial gerrymandering to accord blacks and Hispanics ""the fullest opportunity for representation."" 

In this connection, it is important to note that several members of New York's sitting City Council represent heterogeneous districts that bring together sizable black, Hispanic, and non-Hispanic white populations -- Carolyn Maloney's 8th district in northern Manhattan and the south Bronx and Susan Alter's 25th district in Brooklyn, for example.
To win their seats on the council, these political leaders have had to listen to all the voices in their district and devise public policies that would benefit all.
Often they have found that the relevant issue is not race, but rather housing, crime prevention or education.",non pronoun,other,other,not_subject,not_non_subject
wsj_1137,narration,Sequence,NN,complete,other,"This year, a commission appointed by the mayor to revise New York's system of government completed a new charter, expanding the City Council to 51 from 35 members.//Sometime in 1991, as soon as the 1990 census becomes available, a redistricting panel will redraw the City Council district lines.
The Charter Revision Commission has made it clear that in response to the expectations of the Justice Department and the commission's own commitment to enhancing minority political leadership, the new district lines will be drawn to maximize the number of solidly minority districts.
Blacks and Hispanics currently make up 38% of the city's population and hold only 25% of the seats on the council. 

Several of the city's black leaders, including Democratic mayoral nominee David Dinkins, have spoken out for racial gerrymandering to accord blacks and Hispanics ""the fullest opportunity for representation."" 

In this connection, it is important to note that several members of New York's sitting City Council represent heterogeneous districts that bring together sizable black, Hispanic, and non-Hispanic white populations -- Carolyn Maloney's 8th district in northern Manhattan and the south Bronx and Susan Alter's 25th district in Brooklyn, for example.
To win their seats on the council, these political leaders have had to listen to all the voices in their district and devise public policies that would benefit all.
Often they have found that the relevant issue is not race, but rather housing, crime prevention or education.",non pronoun,other,other,not_subject,not_non_subject
wsj_1390,narration,temporal-after,SN,precipitate,non_subject,"Although Mr. Brawer's appointment as president was long expected, the move on Sept. 25 precipitated the resignation of Alan Lesk as senior vice president of sales and merchandising.//Three days later, Mr. Lesk was named president and chief executive officer of Olga Co., a competing intimate apparel division of Warnaco Inc. Warnaco also owns Warners, another major intimate apparel maker.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1390,narration,temporal-before,NS,go,non_subject,"And last year, Playtex Holdings Inc. went private for about $680 million.//It was then split into Playtex Apparel Inc., the intimate apparel division, and Playtex Family Products Corp., which makes tampons, hair-care items and other products.",pronoun,non_subject,non_subject,not_subject,non_subject
wsj_2342,narration,Sequence,NN,go,subject,"Relational Technology went public in May 1988 at $14 a share.//It fell $1.875 a share Friday, to $6.25, a new low, in over-the-counter trading.
Its high for the past year was $16.375 a share. 

In the previous quarter, the company earned $4.5 million, or 37 cents a share, on sales of $47.2 million.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1371,narration,Sequence,NN,give,non_subject,"The linkup with Credit Agricole will give Nuovo Banco its first foreign presence since it was formed from the wreck of the old Banco Ambrosiano, which collapsed amid scandal after the death of Chairman Roberto Calvi in 1982.//Since then, the bank has strengthened its Italian network, and has posted strong results.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1303,narration,Sequence,NN,join,subject,"Mr. Dozen joined Daiwa upon his graduation from Kyoto University in 1959.//Like many young recruits in Japanese securities firms, he began his career peddling stock to individual investors. 

In his climb to the top, Mr. Dozen also headed the company's stock-exchange division, its fixed-income units and its international operations. ""He was constantly picking up new things to fill out his experience; he is very well-balanced,"" said Takuro Isoda, chairman of Daiwa's U.S. unit in New York. 

But it Mr. Dozen's experience as a salesman that enabled him to gain the political support -- particularly from the retail sales force -- to accede to the presidency.
Commission income from domestic stock and bond sales accounts form a large portion of Japanese securities companies' earnings.
And anybody who lacked the backing of the retail sales force ""would be fragile,"" said a Daiwa executive.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1149,narration,Inverted-Sequence,NN,limit,other,"The new guidelines limit the pretrial forfeitures of assets of RICOed defendants and their investors, clients, bankers and others.//This follows earlier new guidelines from the Tax Division prohibiting Princeton/Newport-like tax cases from masquerading as RICO cases.",non pronoun,other,other,not_subject,not_non_subject
wsj_1149,narration,temporal-after,NS,be,other,"Part of Drexel's plea was to cut Mr. Milken loose.//So after all the prosecutorial hoopla no one has established what, if anything, Drexel did wrong.",non pronoun,other,other,not_subject,not_non_subject
wsj_1193,narration,Sequence,NN,resign,other,"Mr. Berry, 58, had resigned after being asked by Ogilvy 's chairman and chief executive officer, Kenneth Roman, to give up his title as creative head of the New York office and to take a fuzzier international role.//Yesterday, just a day after Mr. Roman announced he would leave to take a top post at American Express, WPP said Mr. Berry would return to take an international role at the parent company. 

Mr. Berry said the timing was a coincidence and that his decision was unrelated to Mr. Roman's departure.",non pronoun,other,other,not_subject,not_non_subject
wsj_1193,narration,Inverted-Sequence,NN,award,other,"RJR Nabisco Inc. awarded its national broadcast media-buying assignment to FCB/Leber Katz Partners, the New York outpost of Chicago-based Foote, Cone & Belding.//The naming of FCB/Leber Katz Partners as agency of record for Nabisco Brands Inc. and Planters LifeSavers Co. follows RJR Nabisco's announcement last week that it will disband its RJR Nabisco Broadcast division and dismiss its 14 employees Dec. 1. to cut costs.
New York-based RJR Nabisco wouldn't say what it spends annually, but industry executives say it will spend more than $140 million this year, down from about $200 million last year.",non pronoun,other,other,not_subject,not_non_subject
wsj_2381,narration,Sequence,NN,say,subject,"""I waited to make sure all the program trades had kicked through,"" he said.//Then he jumped into the market: ""I spent $30 million in the last half-hour.""",pronoun,FALSE,TRUE,subject,not_non_subject
wsj_1158,narration,temporal-same-time,SN,flourish,other,"Back when the Burgess fauna were flourishing,//it seems, human evolutionary hopes hung on the survival of a little worm with a backbone called Pikaia.",pronoun,other,other,not_subject,not_non_subject
wsj_1379,narration,Sequence,NN,awake,other,"Edward Carlson awoke one morning last month to find eight holes in his front yard where his prized miniature palms, called cycads, once stood.//Days later, the thieves returned and dug out more, this time adding insult to injury. ""The second time,"" he says, ""they left the shovel.""",non pronoun,other,other,not_subject,not_non_subject
wsj_1379,narration,temporal-after,SN,awake,other,"Edward Carlson awoke one morning last month//to find eight holes in his front yard where his prized miniature palms, called cycads, once stood.",non pronoun,other,other,not_subject,not_non_subject
wsj_1394,narration,Sequence,NN,be,other,"Ralph Brown was 31,000 feet over Minnesota when both jets on his Falcon 20 flamed out.//At 18,000 feet, he says, he and his co-pilot ""were looking for an interstate or a cornfield"" to land. 

At 13,000 feet, the engines restarted.",non pronoun,other,other,not_subject,not_non_subject
wsj_1394,narration,Sequence,NN,squeeze,other,"These and other problems squeezed Federal's profit margins last year to 8%, down from more than 13% annually in the first half of the decade.//Earnings have plummeted, too, in each of the past three quarters.",non pronoun,other,other,not_subject,not_non_subject
wsj_1394,narration,Sequence,NN,be,other,"Its 6,500 workers, who had battled Tiger's management for years over givebacks, were union members until the day of the merger, when most of their unions were automatically decertified.//Soon after the merger, moreover, Federal's management asked Tiger's pilots to sign an agreement stating that they could be fired any time, without cause or notice.
When the pilots refused, the company retracted it.",non pronoun,other,other,not_subject,not_non_subject
wsj_0637,narration,Sequence,NN,carry,non_subject,"The preferred shares will carry a floating annual dividend equal to 72% of the 30-day bankers' acceptance rate until Dec. 31, 1994.//Thereafter, the rate will be renegotiated.
Mr. Vaux said that if no agreement is reached, other buyers will be sought by bid or auction.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1944,narration,temporal-after,SN,sell,subject,"James A. Toney, a vice president, sold 1,500 shares Aug. 28.//He still has 1,143 shares, according to SEC files.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_2348,narration,Sequence,NN,lock,subject,"The buyers will also be locked into deposit rates for just two weeks, as has been the case with previous deals.//After that, the buyers may repudiate the rates paid by the former thrifts.",non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_2358,narration,Sequence,NN,send,other,"when a steep run-up in world oil prices sent the index surging at double-digit annual rates.//Energy prices then plummeted through the summer, causing the index to decline for three consecutive months.",non pronoun,other,other,not_subject,not_non_subject
wsj_1128,narration,Sequence,NN,be,subject,"After all, until the 1950s even the Red Delicious was a firm, delectable morsel.//Then, as growers bred them more for looks, and to satisfy supermarket chains' demands of long-term storage, the Red went into decline.",non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_2315,narration,Sequence,NN,base,other,"The broadcast group had been based in New York until a year ago, when RJR's previous management moved it to Atlanta, the company's headquarters before this summer.//One employee with the group said RJR moved 11 employees of the group back to New York in September because ""there was supposed to be a future."" He said the company hired three more buyers for the unit within the past two weeks, wooing them from jobs with advertising agencies. 

The RJR spokesman said the company moved the 11 employees to New York last month because the group had then been in the midst of purchasing ad time for the networks' upcoming season.",non pronoun,other,other,not_subject,not_non_subject
wsj_1396,narration,Sequence,NN,face,subject,"Mr. Hastings faced the senators and sat impassively during the first two roll-call votes, then quickly left the chamber.//In an impromptu news conference on the Capitol steps, he denounced the senators' action. 

""Their opinion is devoid of the wisdom of the forefathers' teaching regarding impeachment,"" Mr. Hastings said.
For the future, he said he would run for governor of Florida.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1121,narration,Sequence,NN,use,other,"Engineers first used concrete blocks to bolster the barrier, but the ocean tossed them aside like driftwood.//Then someone decided to try broken-down earthmoving equipment that, inexplicably, held against the waves. 

""The Caterpillar people aren't too happy when they see their equipment used like that,"" shrugs Mr. George. ""They figure it's not a very good advert.""",non pronoun,other,other,not_subject,not_non_subject
wsj_1924,narration,temporal-same-time,SN,shake,other,"As aftershocks shook the San Francisco Bay area,//rescuers searched through rubble for survivors of Tuesday's temblor, and residents picked their way through glass-strewn streets.",non pronoun,other,other,not_subject,not_non_subject
wsj_1120,narration,temporal-before,SN,win,subject,"The LDP won by a landslide in the last election, in July 1986.//But less than two years later, the LDP started to crumble, and dissent rose to unprecedented heights.",non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1387,narration,Sequence,NN,make,other,"In 1984, an attempt was made to crack down on the industry with tougher restrictions.//Then, in 1988, a proposal to keep better track of income by selling prepaid cards for pachinko was fielded in parliament.
The proposal split the industry in two, along the lines of national origin: North Koreans oppose the plan while South Koreans, Japanese and Taiwanese accept it or are neutral. 

In August, a conservative weekly magazine reported that a pachinko industry organization donated money to Japan Socialist Party members.
The magazine alleged that in making the donations, the pachinko industry may have been offering bribes to win support in the battle against prepaid cards, or it may have been laundering money back and forth between the JSP and the North Korean residents' organization, the Chosen Soren. 

The Chosen Soren and the JSP immediately denied the report.
And at first, neither the opposition nor the LDP wanted to pursue the issue.
But the press kept it alive; as with the Recruit scandal, lists began circulating with names of people who had received money. 

Within a matter of weeks, less-conservative magazines reported that members of the ruling LDP had received much larger donations from pachinko organizations.
So far, though, there have been no allegations that the contributions the LDP members received amounted to bribes.
Then the two camps upped the ante: Reports that Chosen Soren had donated directly to JSP members were rapidly countered by statements that the South Korean residents' organization had long been donating directly to LDP members. 

The JSP admitted Oct. 13 that its members received about eight million yen from the pachinko organization, and charged LDP members with receiving 125 million yen ($880,000) and other opposition parties with taking about 2.5 million yen.
On Friday, the chief cabinet secretary announced that eight cabinet ministers had received five million yen from the industry, including 450,000 yen ($3,175) by Prime Minister Toshiki Kaifu.
No one has alleged that the donations were by themselves illegal. 

Direct donations from either of the residents' organizations would be illegal because the groups are defined as foreign, but both groups deny making direct donations.
They say its possible some of their members may be donating privately. 

The issue is further complicated because although the organizations represent Korean residents, those residents were largely born and raised in Japan and many speak only Japanese.
That they retain Korean citizenship and ties is a reflection of history -- their parents were shipped in as laborers during the decades when Japan occupied Korea before World War II -- and the discrimination that still faces Koreans in Japanese society. 

Many Japanese think it only natural that the organizations or their members would donate to politicians, the way many Japanese do, to win favor or support. 

Both residents' organizations admit to receiving some funding from abroad.
But LDP members and supporters of the prepaid card idea tend to speak in innuendo about the JSP's alleged donations, implying that North Korean money would be more suspect than South Korean because North Korea is communist and South Korea is an ally.",non pronoun,other,other,not_subject,not_non_subject
wsj_0656,narration,temporal-same-time,NS,accumulate,other,"that Mr. Petrie or his company have been accumulating Deb Shops stock for several years,//each time issuing a similar regulatory statement.",non pronoun,other,other,not_subject,not_non_subject
wsj_1373,narration,Sequence,NN,instal,subject,"The company installed a prototype system that connects Dallas with Miami over digital phone lines.//And it is preparing to set up shop in Chicago, New York and 10 other cities where court-reporting agencies can tie conference rooms into the network.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_1327,narration,Sequence,NN,send,subject,"At age eight, Josephine Baker was sent by her mother to a white woman's house to do chores in exchange for meals and a place to sleep -- a place in the basement with the coal.//At age 19, she was a Paris sensation, transformed from unwanted child to international sex symbol in just over a decade.",pronoun,FALSE,FALSE,subject,not_non_subject
wsj_0660,narration,Sequence,NN,make,non_subject,"Under the pact, Montedision will make a $37-a-share tender offer for Erbamont stock outstanding.//The tender offer will be followed by the sale of all of Erbamont's assets, subject to all of its liabilities, to Montedison.
Erbamont will then be liquidated, with any remaining Erbamont holders receiving a distribution of $37 a share.",non pronoun,non_subject,non_subject,not_subject,non_subject
wsj_1174,narration,Sequence,NN,rise,subject,"From 1974 to 1984, prices for the best yearlings at the summer sales rose 918% to an average of $544,681.//Since then, prices have slumped, to an average of $395,374 this summer.
But that's for the best horses, with most selling for much less -- as little as $100 for some pedestrian thoroughbreds.",non pronoun,FALSE,FALSE,subject,not_non_subject
wsj_2363,contrast,Contrast,NN,'s,other,"""It's very much a growing concern.//But when something is inevitable, you learn to live with it,""",pronoun,other,other,not_subject,not_non_subject
wsj_1171,contrast,concession,SN,handle,other,"Mr. Bates usually handles day-to-day UAL trading on his own.//But yesterday, the heavy trading action eventually consumed not only Messrs.
Jacobson and Bates but four other Jacobson partners, all doing their specialist-firm job of tugging buyers and sellers together and adjusting prices to accommodate the market.",non pronoun,other,other,not_subject,not_non_subject
wsj_1171,contrast,antithesis,NS,praise,other,"Big Board traders praised the Jacobson specialists for getting through yesterday without a trading halt.//In Chicago, a UAL spokesman, ""by way of policy,"" declined to comment on the company's stock or the specialists' performance.",non pronoun,other,other,not_subject,not_non_subject
wsj_0675,contrast,Contrast,NN,join,other,"Bowing to criticism, Bear Stearns, Morgan Stanley and Oppenheimer joined PaineWebber in suspending stock-index arbitrage trading for their own accounts.//Still, stock-index funds are expected to continue launching big programs through the market.",non pronoun,other,other,not_subject,not_non_subject
wsj_0675,contrast,antithesis,NS,sweeten,other,"LIN Broadcasting and BellSouth sweetened their plan to merge cellular phone operations, offering LIN holders a special $42-a-share payout.//But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.",non pronoun,other,other,not_subject,not_non_subject
wsj_0675,contrast,antithesis,NS,post,other,Unisys posted a $648.2 million loss for the third quarter as it moved quickly to take write-offs for various problems and prepare for a turnaround.//But some analysts wonder how strong the recovery will be.,non pronoun,other,other,not_subject,not_non_subject
wsj_0617,contrast,Contrast,NN,stress,other,"The Manhattan U.S. attorney's office stressed criminal cases from 1980 to 1987, averaging 43 for every 100,000 adults.//But the New Jersey U.S. attorney averaged 16.",non pronoun,other,other,not_subject,not_non_subject
wsj_0617,contrast,Contrast,NN,file,other,"On the civil side, the Manhattan prosecutor filed an average of only 11 cases for every 100,000 adults during the same period;//the San Francisco U.S. attorney averaged 79.",non pronoun,other,other,not_subject,not_non_subject
wsj_1103,contrast,antithesis,SN,break,other,"Shearson doesn't break out the earnings of its subsidiaries.//But people familiar with Boston Co. 's performance say the unit had profit of around $17 million for the third quarter, after barely breaking even for the first six months.",non pronoun,other,other,not_subject,not_non_subject
wsj_1103,contrast,Contrast,NN,accuse,other,"The executives were accused of improperly deferring expenses and booking revenue early, in an effort to dress up results -- and perhaps bolster performance-related bonuses.//Mr. von Germeten, in turn, attributed the controversy to judgmental errors by accountants and accused Shearson of conducting a ""witch hunt.""",non pronoun,other,other,not_subject,not_non_subject
wsj_1322,contrast,Contrast,NN,say,other,"""On the negative side, the market will be affected by constant supply in all sectors of the market,"" said William M. Brachfeld, economist at Daiwa Securities America Inc.//""On the other hand, we have economic news that is {expected to be} relatively positive for the bond market.
We will go back and forth with a tilt toward slightly lower yields,"" he said.",pronoun,other,other,not_subject,not_non_subject
wsj_0638,contrast,Contrast,NN,stop,other,"It stopped selling a standard personal computer a while ago.//Now that is about to change, as Texas Instruments begins marketing two 14-pound laptop PCs with 20 megabyte and 40 megabyte hard drives.
The laptops are not revolutionary and, indeed, are tardy in a market first opened by GRiD Systems Corp., now a unit of Tandy Corp., almost two years ago.",non pronoun,other,other,not_subject,not_non_subject
wsj_0681,contrast,antithesis,SN,say,other,"At current levels of economic activity and earnings, stocks are fairly valued, she says.//But any chance for prices to surge above fair value lies in the speculation that accompanies a vigorous merger and buy-out business, and UAL has obviously put a damper on that.",non pronoun,other,other,not_subject,not_non_subject
wsj_1314,contrast,Contrast,NN,outperform,subject,"From January to early September, the index of stub stocks -- the tiny portion of equity that's publicly traded following a recapitalization -- outperformed Standard & Poor's 500-stock index by about 20%.//But starting in early September, the index started to slide and now stands about even with the S&P 500.",non pronoun,FALSE,FALSE,subject,not_non_subject
